epoch,samples,train_loss,valid_loss
1,100,354093.28125,248433.45976437692
1,200,247388.484375,221835.32101138172
1,300,234191.703125,237067.04727436122
1,400,177954.90625,223671.13198881788
1,500,214093.71875,221933.18433007176
1,600,345697.125,224473.29195786742
1,700,144379.203125,233209.54595147748
1,800,230973.515625,262248.64062500006
1,900,133646.5,240989.52486022367
1,1000,236979.109375,223675.598866813
1,1100,237372.46875,241816.82702675732
1,1200,392838.46875,222057.27291333847
epoch,samples,train_loss,valid_loss
2,100,352431.78125,247911.95167731633
2,200,247392.359375,221835.071111222
2,300,234191.734375,237067.06746705296
2,400,177954.875,223671.1400509186
2,500,214093.71875,221933.17302316293
2,600,345697.0625,224473.26435203664
2,700,144379.21875,233209.58985622996
2,800,230973.515625,262248.5614017573
2,900,133646.5,240989.52852935292
2,1000,236979.109375,223675.60073881774
2,1100,237372.390625,241816.847244409
2,1200,392838.5625,222057.26183107012
epoch,samples,train_loss,valid_loss
3,100,352431.875,247911.98118011188
3,200,247392.3125,221835.08798422533
3,300,234191.828125,237067.0992661742
3,400,177954.90625,223671.13198881788
3,500,214093.703125,221933.17302316293
3,600,345697.0625,224473.29073482417
3,700,144379.203125,233209.58985622996
3,800,230973.46875,262248.5614017573
3,900,133646.5,240989.5613767971
3,1000,236979.109375,223675.598866813
3,1100,237372.46875,241816.8613718053
3,1200,392838.53125,222057.27193989602
epoch,samples,train_loss,valid_loss
4,100,352431.84375,247911.9651058308
4,200,247392.359375,221835.08798422533
4,300,234191.75,237067.0992661742
4,400,177954.890625,223671.13198881788
4,500,214093.734375,221933.1800619009
4,600,345697.03125,224473.2779802315
4,700,144379.203125,233209.58985622996
4,800,230973.5,262248.51352835476
4,900,133646.53125,240989.52328773946
4,1000,236979.109375,223675.60073881774
4,1100,237372.46875,241816.80481230066
4,1200,392838.5625,222057.26183107012
epoch,samples,train_loss,valid_loss
5,100,352431.875,247911.92856429712
5,200,247392.359375,221835.08369109427
5,300,234191.828125,237067.0775259586
5,400,177954.890625,223671.11888478437
5,500,214093.734375,221933.17818989613
5,600,345696.96875,224473.26532547924
5,700,144379.21875,233209.59317591845
5,800,230973.453125,262248.5408845849
5,900,133646.484375,240989.56107727624
5,1000,236979.078125,223675.60073881774
5,1100,237372.390625,241816.78709065492
5,1200,392838.5625,222057.26477635774
epoch,samples,train_loss,valid_loss
6,100,352431.9375,247912.03100039938
6,200,247392.359375,221835.08461461661
6,300,234191.78125,237067.0775259586
6,400,177954.90625,223671.1400509186
6,500,214093.703125,221933.17818989613
6,600,345697.125,224473.29195786742
6,700,144379.21875,233209.58985622996
6,800,230973.515625,262248.5804213259
6,900,133646.5,240989.56037839438
6,1000,236979.109375,223675.58823382578
6,1100,237372.296875,241816.82702675732
6,1200,392838.53125,222057.2602585862
epoch,samples,train_loss,valid_loss
7,100,352431.71875,247912.00943490406
7,200,247392.3125,221835.08369109427
7,300,234191.78125,237067.0775259586
7,400,177954.890625,223671.1400509186
7,500,214093.703125,221933.17302316293
7,600,345697.125,224473.29737420115
7,700,144379.203125,233209.62232927323
7,800,230973.546875,262248.66378793935
7,900,133646.546875,240989.4941843051
7,1000,236979.109375,223675.60073881774
7,1100,237372.34375,241816.80481230066
7,1200,392838.46875,222057.27193989602
epoch,samples,train_loss,valid_loss
8,100,352431.875,247911.95167731633
8,200,247392.359375,221835.08394069492
8,300,234191.734375,237067.07328274773
8,400,177954.890625,223671.14030051918
8,500,214093.71875,221933.18433007176
8,600,345697.03125,224473.2779802315
8,700,144379.21875,233209.59317591845
8,800,230973.46875,262248.5804213259
8,900,133646.5,240989.55356429692
8,1000,236979.109375,223675.58823382578
8,1100,237372.390625,241816.80481230066
8,1200,392838.46875,222057.2602585862
epoch,samples,train_loss,valid_loss
9,100,352431.84375,247911.9651058308
9,200,247392.359375,221835.08369109427
9,300,234191.75,237067.06746705296
9,400,177954.890625,223671.11439197307
9,500,214093.734375,221933.17818989613
9,600,345697.03125,224473.2779802315
9,700,144379.21875,233209.56352336254
9,800,230973.46875,262248.5614017573
9,900,133646.53125,240989.52486022367
9,1000,236979.109375,223675.6132937299
9,1100,237372.40625,241816.847244409
9,1200,392838.5625,222057.27193989602
epoch,samples,train_loss,valid_loss
10,100,352431.78125,247911.92856429712
10,200,247392.375,221835.08369109427
10,300,234191.828125,237067.0992661742
